capture,gt,read,raw_read,match,failure_stage,all_failed_stages,notes
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085658_149.png,"25,800",25800,25800,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085700_935.png,"19,200",19200,19200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085702_730.png,"19,200",19200,19200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085704_315.png,"11,565",11520,,0,5,"5,8",detector comma_cx=50.0 disagrees with both blob-midpt(67.5) and uniform(136.22222222222223); min_err=17.5 via blob > tol 6
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085706_354.png,"19,200",19200,19200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085710_829.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085714_827.png,"8,271",21275,,0,5,"5,6,8",detector comma_cx=113.0 disagrees with both blob-midpt(None) and uniform(88.36363636363635); min_err=24.6 via uniform > tol 6
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085716_872.png,"8,271",8720,,0,5,"5,8",detector comma_cx=89.0 disagrees with both blob-midpt(79.0) and uniform(59.0); min_err=10.0 via blob > tol 6
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085721_235.png,"15,360",15360,15360,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085725_381.png,"17,020",17020,17020,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085729_196.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085730_355.png,"17,080",17080,17080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085731_933.png,"10,620",10620,10620,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085735_485.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085737_445.png,"25,710",,,0,5,"5,6,8",detector comma_cx=68.0 disagrees with both blob-midpt(None) and uniform(60.44444444444445); min_err=7.6 via uniform > tol 6
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085739_982.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085742_484.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085745_646.png,"21,350",21350,21350,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085747_000.png,"17,080",17080,17080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085750_103.png,"25,800",25800,25800,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085814_870.png,"17,200",17200,17200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_091311_438.png,"25,800",,,0,2,"2,5,6,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_091315_639.png,"25,800",,,0,2,"2,5,6,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_091316_513.png,"25,800",,,0,2,"2,5,6,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_091318_867.png,"25,800",25800,25800,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_091320_937.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_091326_915.png,"2,000",2000,2000,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155446_555.png,"10,000",10000,10000,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155450_009.png,"21,350",21350,21350,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155454_815.png,"10,620",10620,10620,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155457_886.png,"17,140",17140,17140,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155500_306.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155503_607.png,"3,540",3540,3540,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155506_006.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155508_981.png,"6,340",6340,6340,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155513_882.png,"17,080",17080,17080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155517_980.png,"10,620",10620,10620,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155519_866.png,"17,140",17140,17140,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155522_432.png,"10,620",10620,10620,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155526_425.png,"17,140",17140,17140,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155530_445.png,"14,000",14000,14000,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155533_911.png,"17,140",17140,17140,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155536_445.png,"15,420",15420,15420,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155538_447.png,"16,960",16960,16960,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155541_145.png,"21,500",21500,21500,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155808_129.png,"17,200",,,0,1,"1,2,3,5,8",no pill bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155809_550.png,"21,200",,,0,1,"1,2,3,6,8",no pill bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155812_517.png,"7,080",,,0,1,"1,2,3,8",no pill bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_155813_956.png,"17,080",,,0,1,"1,2,3,8",no pill bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160417_320.png,"14,160",14160,14160,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160419_582.png,"25,530",25530,25530,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160422_185.png,21565,21565,21565,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160424_496.png,"14,160",14160,14160,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160427_701.png,"17,200",17200,17200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160430_375.png,"17,020",17020,17020,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160432_487.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160434_722.png,"14,160",14160,14160,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160442_639.png,"25,620",25620,25620,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160445_195.png,"10,000",10000,10000,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160446_956.png,"17,020",17020,17020,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160449_806.png,"17,020",17020,17020,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160452_795.png,"16,960",16960,16960,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160459_070.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160521_795.png,"11,565",11565,11565,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160524_332.png,"14,160",14160,14160,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160526_751.png,"11,565",11565,11565,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160529_753.png,"17,020",17020,17020,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160532_371.png,"17,200",17200,17200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160535_248.png,"21,350",21350,21350,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_154408\region2\cap_20260418_160539_008.png,"3,170",3170,3170,1,0,,ok
