capture,gt,ours,crnn,crnn_raw,bucket
cap_20260425_094818_085.png,3400,3400,3400,"3,400",both_correct
cap_20260425_094821_678.png,11520,11520,11520,"11,520",both_correct
cap_20260425_094826_151.png,7710,7710,7710,"7,710",both_correct
cap_20260425_094829_316.png,7080,7080,7080,"7,080",both_correct
cap_20260425_094834_527.png,2000,2000,2000,"2,000",both_correct
cap_20260425_094837_965.png,17020,17020,17020,"17,020",both_correct
cap_20260425_094842_773.png,7080,7080,7080,"7,080",both_correct
cap_20260425_094846_942.png,17080,17080,17080,"17,080",both_correct
cap_20260425_094850_647.png,2000,2000,2000,"2,000",both_correct
cap_20260425_094854_372.png,11565,,,,no_pipeline
cap_20260425_094858_527.png,17200,17200,17200,"17,200",both_correct
cap_20260425_094906_439.png,15420,,,,no_pipeline
cap_20260425_094918_738.png,11520,11520,11520,"11,520",both_correct
cap_20260425_094921_952.png,17200,17200,17200,"17,200",both_correct
cap_20260425_094924_307.png,3170,3170,3170,"3,170",both_correct
cap_20260425_094930_810.png,3400,3400,3400,"3,400",both_correct
cap_20260425_094933_988.png,7710,7710,7710,"7,710",both_correct
cap_20260425_094941_150.png,17020,17020,17020,"17,020",both_correct
cap_20260425_094955_777.png,21500,,,,no_pipeline
cap_20260425_094959_308.png,17200,,,,no_pipeline
cap_20260425_095003_681.png,7080,7080,7080,"7,080",both_correct
cap_20260425_095014_981.png,14160,14160,14160,"14,160",both_correct
cap_20260425_095018_761.png,11520,,,,no_pipeline
cap_20260425_095021_603.png,3170,3170,3170,"3,170",both_correct
cap_20260425_095025_187.png,25530,25530,25530,"25,530",both_correct
cap_20260425_095030_317.png,17140,17140,17140,"17,140",both_correct
cap_20260425_095032_385.png,11520,11520,11520,"11,520",both_correct
cap_20260425_095037_254.png,21200,21200,21200,"21,200",both_correct
cap_20260425_095038_959.png,17020,17020,17020,"17,020",both_correct
cap_20260425_095048_478.png,10620,10620,10620,"10,620",both_correct
cap_20260425_095055_843.png,21275,21275,21275,"21,275",both_correct
cap_20260425_095100_324.png,7080,7080,7080,"7,080",both_correct
cap_20260425_095104_558.png,7080,,,,no_pipeline
cap_20260425_095107_445.png,21500,21500,21500,"21,500",both_correct
cap_20260425_095110_190.png,21500,21500,21500,"21,500",both_correct
cap_20260425_095113_320.png,11585,11565,11585,"11,585",crnn_only
cap_20260425_095115_282.png,21500,21500,21500,"21,500",both_correct
cap_20260425_095116_895.png,14160,14160,14160,"14,160",both_correct
cap_20260425_095122_287.png,11565,11565,11565,"11,565",both_correct
cap_20260425_095125_223.png,21200,21200,21200,"21,200",both_correct
cap_20260425_095133_813.png,11565,11565,11565,"11,565",both_correct
cap_20260425_095134_689.png,17140,17140,17140,"17,140",both_correct
cap_20260425_095135_534.png,17140,17140,17140,"17,140",both_correct
cap_20260425_095138_958.png,21500,21500,21500,"21,500",both_correct
cap_20260425_095139_966.png,7080,7080,7080,"7,080",both_correct
cap_20260425_095143_971.png,19200,19200,19200,"19,200",both_correct
cap_20260425_095146_136.png,19200,19200,19200,"19,200",both_correct
cap_20260425_095151_089.png,19200,19200,19200,"19,200",both_correct
cap_20260425_095206_162.png,12000,12000,12000,"12,000",both_correct
cap_20260425_095208_215.png,21275,21275,21275,"21,275",both_correct
cap_20260425_095209_480.png,21275,21275,21275,"21,275",both_correct
cap_20260425_095210_053.png,21275,21275,21275,"21,275",both_correct
cap_20260425_095213_512.png,7080,7080,7080,"7,080",both_correct
cap_20260425_095219_912.png,7080,7080,7080,"7,080",both_correct
cap_20260425_134802_320.png,7080,7080,7080,"7,080",both_correct
cap_20260425_134828_331.png,25620,25620,25620,"25,620",both_correct
cap_20260425_134838_279.png,25620,25620,25620,"25,620",both_correct
cap_20260425_134838_830.png,25620,25620,25620,"25,620",both_correct
cap_20260425_134848_827.png,2000,2000,2000,"2,000",both_correct
cap_20260425_134852_064.png,4000,4000,4000,"4,000",both_correct
cap_20260425_134854_155.png,7080,7080,7080,"7,080",both_correct
cap_20260425_134855_809.png,7080,7080,7080,"7,080",both_correct
cap_20260425_134856_320.png,7080,7080,7080,"7,080",both_correct
cap_20260425_134858_416.png,17080,17080,17080,"17,080",both_correct
cap_20260425_134902_300.png,21500,21500,21500,"21,500",both_correct
cap_20260425_134902_863.png,21500,21500,21500,"21,500",both_correct
cap_20260425_134912_850.png,3170,3170,3170,"3,170",both_correct
cap_20260425_134913_498.png,3170,3170,3170,"3,170",both_correct
cap_20260425_134919_185.png,17200,17200,17200,"17,200",both_correct
cap_20260425_134922_430.png,11565,11565,11565,"11,565",both_correct
cap_20260425_134922_891.png,11565,11565,11565,"11,565",both_correct
cap_20260425_134923_305.png,11565,11565,11565,"11,565",both_correct
cap_20260425_134923_811.png,11565,11565,11565,"11,565",both_correct
cap_20260425_134929_079.png,15420,15420,15420,"15,420",both_correct
cap_20260425_134931_385.png,15420,15420,15420,"15,420",both_correct
cap_20260425_134942_367.png,7080,7080,7080,"7,080",both_correct
cap_20260425_134945_513.png,6340,6340,6340,"6,340",both_correct
cap_20260425_134945_917.png,6340,6340,6340,"6,340",both_correct
cap_20260425_134946_403.png,6340,6340,6340,"6,340",both_correct
cap_20260425_134946_803.png,6340,6340,6340,"6,340",both_correct
cap_20260425_134947_211.png,6340,6340,6340,"6,340",both_correct
cap_20260425_134950_588.png,7080,7080,7080,"7,080",both_correct
cap_20260425_134952_093.png,4000,4000,4000,"4,000",both_correct
cap_20260425_134957_367.png,17080,17080,17080,"17,080",both_correct
cap_20260425_134957_761.png,17080,17080,17080,"17,080",both_correct
cap_20260425_135046_453.png,7080,7080,7080,"7,080",both_correct
cap_20260425_135054_863.png,15360,15360,15360,"15,360",both_correct
cap_20260425_135055_352.png,15360,15360,15360,"15,360",both_correct
cap_20260425_135059_437.png,21425,21500,21500,"21,500",both_wrong
cap_20260425_135101_644.png,10620,10620,10620,"10,620",both_correct
cap_20260425_135104_979.png,15420,15420,15420,"15,420",both_correct
cap_20260425_135111_151.png,14160,14160,14160,"14,160",both_correct
cap_20260425_135117_682.png,15420,15420,15420,"15,420",both_correct
cap_20260425_135120_544.png,7080,7080,7080,"7,080",both_correct
cap_20260425_135124_419.png,10620,10620,10620,"10,620",both_correct
cap_20260425_135124_926.png,10620,,,,no_pipeline
cap_20260425_135127_491.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135127_756.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135127_998.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135128_216.png,19200,,,,no_pipeline
cap_20260425_135128_809.png,19200,,,,no_pipeline
cap_20260425_135130_799.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135131_358.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135131_920.png,19200,,,,no_pipeline
cap_20260425_135134_322.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135134_814.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135135_283.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135135_697.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135136_145.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135136_606.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135137_085.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135137_498.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135137_907.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135138_399.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135138_855.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135139_288.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135139_744.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135140_220.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135140_646.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135141_150.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135141_695.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135142_190.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135142_700.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135143_215.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135143_713.png,19200,19200,19200,"19,200",both_correct
cap_20260425_135144_135.png,19200,19200,19200,"19,200",both_correct
