path,label,field,source_capture,review_status
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155715_919__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155715_919.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155715_919__0p99.png,0.99,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155715_919.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155721_243__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155721_243.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155721_243__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155721_243.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155721_243__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155721_243.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155725_424__10486.png,10486,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155725_424.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155725_424__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155725_424.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155725_424__3p78.png,3.78,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155725_424.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155740_736__10488.png,10488,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155740_736.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155740_736__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155740_736.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155740_736__3p78.png,3.78,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155740_736.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155743_480__3736.png,3736,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155743_480.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155743_480__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155743_480.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155743_480__0p90.png,0.90,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155743_480.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155746_172__1p30.png,1.30,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155746_172.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155909_454__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155909_454.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155909_454__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155909_454.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155909_454__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155909_454.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155912_020__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155912_020.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155912_020__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155912_020.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155912_020__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155912_020.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155914_028__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155914_028.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155914_028__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155914_028.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155914_028__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155914_028.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155916_452__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155916_452.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155916_452__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155916_452.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155916_452__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155916_452.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155918_367__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155918_367.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155918_367__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155918_367.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155918_367__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155918_367.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155921_000__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155921_000.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155921_000__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155921_000.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155921_000__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155921_000.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155923_391__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155923_391.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155923_391__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155923_391.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155923_391__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155923_391.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155926_170__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155926_170.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155926_170__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155926_170.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155926_170__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155926_170.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155945_982__15683.png,15683,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155945_982.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155945_982__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155945_982.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155945_982__14p21.png,14.21,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155945_982.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155949_144__21449.png,21449,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155949_144.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155949_144__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155949_144.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155949_144__21p47.png,21.47,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155949_144.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155955_540__7379.png,7379,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155955_540.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155955_540__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155955_540.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155955_540__6p94.png,6.94,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155955_540.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160002_705__18875.png,18875,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160002_705.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160002_705__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160002_705.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160002_705__17p84.png,17.84,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160002_705.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160003_629__18875.png,18875,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160003_629.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160003_629__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160003_629.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160003_629__17p84.png,17.84,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160003_629.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160022_415__18875.png,18875,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160022_415.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160022_415__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160022_415.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160022_415__17p64.png,17.64,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160022_415.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160026_220__7379.png,7379,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160026_220.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160026_220__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160026_220.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160026_220__6p94.png,6.94,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160026_220.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160029_408__21449.png,21449,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160029_408.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160029_408__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160029_408.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160029_408__21p47.png,21.47,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160029_408.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160136_959__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160136_959.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160136_959__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160136_959.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160136_959__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160136_959.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160139_576__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160139_576.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160139_576__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160139_576.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160139_576__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160139_576.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160140_986__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160140_986.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160140_986__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160140_986.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160140_986__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160140_986.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160145_257__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160145_257.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160145_257__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160145_257.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160145_257__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160145_257.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160150_881__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160150_881.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160150_881__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160150_881.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160150_881__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160150_881.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160153_932__6929.png,6929,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160153_932.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160153_932__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160153_932.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160153_932__2p08.png,2.08,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160153_932.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160159_617__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160159_617.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_160159_617__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160159_617.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_160159_617__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160159_617.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_160202_855__6839.png,6839,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_160202_855.png,approved
