path,true_char,cnn_read,correct,field,position,panel
pct\cap_20260418_155725_424__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_155725_424.png
3\cap_20260418_155725_424__instability__p0__cnn-3__ok.png,3,3,True,instability,0,cap_20260418_155725_424.png
dot\cap_20260418_155725_424__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_155725_424.png
7\cap_20260418_155725_424__instability__p2__cnn-7__ok.png,7,7,True,instability,2,cap_20260418_155725_424.png
8\cap_20260418_155725_424__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_155725_424.png
1\cap_20260418_155740_736__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_155740_736.png
0\cap_20260418_155740_736__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_155740_736.png
4\cap_20260418_155740_736__mass__p2__cnn-4__ok.png,4,4,True,mass,2,cap_20260418_155740_736.png
8\cap_20260418_155740_736__mass__p3__cnn-8__ok.png,8,8,True,mass,3,cap_20260418_155740_736.png
8\cap_20260418_155740_736__mass__p4__cnn-pct__X.png,8,%,False,mass,4,cap_20260418_155740_736.png
1\cap_20260418_155740_736__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_155740_736.png
pct\cap_20260418_155740_736__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_155740_736.png
3\cap_20260418_155740_736__instability__p0__cnn-4__X.png,3,4,False,instability,0,cap_20260418_155740_736.png
dot\cap_20260418_155740_736__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_155740_736.png
7\cap_20260418_155740_736__instability__p2__cnn-2__X.png,7,2,False,instability,2,cap_20260418_155740_736.png
8\cap_20260418_155740_736__instability__p3__cnn-4__X.png,8,4,False,instability,3,cap_20260418_155740_736.png
3\cap_20260418_155743_480__mass__p0__cnn-3__ok.png,3,3,True,mass,0,cap_20260418_155743_480.png
7\cap_20260418_155743_480__mass__p1__cnn-7__ok.png,7,7,True,mass,1,cap_20260418_155743_480.png
3\cap_20260418_155743_480__mass__p2__cnn-3__ok.png,3,3,True,mass,2,cap_20260418_155743_480.png
6\cap_20260418_155743_480__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_155743_480.png
1\cap_20260418_155743_480__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_155743_480.png
pct\cap_20260418_155743_480__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_155743_480.png
0\cap_20260418_155743_480__instability__p0__cnn-0__ok.png,0,0,True,instability,0,cap_20260418_155743_480.png
dot\cap_20260418_155743_480__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_155743_480.png
9\cap_20260418_155743_480__instability__p2__cnn-9__ok.png,9,9,True,instability,2,cap_20260418_155743_480.png
0\cap_20260418_155743_480__instability__p3__cnn-0__ok.png,0,0,True,instability,3,cap_20260418_155743_480.png
1\cap_20260418_155945_982__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_155945_982.png
5\cap_20260418_155945_982__mass__p1__cnn-5__ok.png,5,5,True,mass,1,cap_20260418_155945_982.png
6\cap_20260418_155945_982__mass__p2__cnn-6__ok.png,6,6,True,mass,2,cap_20260418_155945_982.png
8\cap_20260418_155945_982__mass__p3__cnn-8__ok.png,8,8,True,mass,3,cap_20260418_155945_982.png
3\cap_20260418_155945_982__mass__p4__cnn-3__ok.png,3,3,True,mass,4,cap_20260418_155945_982.png
1\cap_20260418_155945_982__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_155945_982.png
4\cap_20260418_155945_982__instability__p1__cnn-4__ok.png,4,4,True,instability,1,cap_20260418_155945_982.png
dot\cap_20260418_155945_982__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_155945_982.png
2\cap_20260418_155945_982__instability__p3__cnn-2__ok.png,2,2,True,instability,3,cap_20260418_155945_982.png
1\cap_20260418_155945_982__instability__p4__cnn-1__ok.png,1,1,True,instability,4,cap_20260418_155945_982.png
2\cap_20260418_155949_144__mass__p0__cnn-2__ok.png,2,2,True,mass,0,cap_20260418_155949_144.png
1\cap_20260418_155949_144__mass__p1__cnn-1__ok.png,1,1,True,mass,1,cap_20260418_155949_144.png
4\cap_20260418_155949_144__mass__p2__cnn-4__ok.png,4,4,True,mass,2,cap_20260418_155949_144.png
4\cap_20260418_155949_144__mass__p3__cnn-4__ok.png,4,4,True,mass,3,cap_20260418_155949_144.png
9\cap_20260418_155949_144__mass__p4__cnn-9__ok.png,9,9,True,mass,4,cap_20260418_155949_144.png
2\cap_20260418_155949_144__instability__p0__cnn-2__ok.png,2,2,True,instability,0,cap_20260418_155949_144.png
1\cap_20260418_155949_144__instability__p1__cnn-1__ok.png,1,1,True,instability,1,cap_20260418_155949_144.png
dot\cap_20260418_155949_144__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_155949_144.png
4\cap_20260418_155949_144__instability__p3__cnn-4__ok.png,4,4,True,instability,3,cap_20260418_155949_144.png
7\cap_20260418_155949_144__instability__p4__cnn-7__ok.png,7,7,True,instability,4,cap_20260418_155949_144.png
7\cap_20260418_155955_540__mass__p0__cnn-7__ok.png,7,7,True,mass,0,cap_20260418_155955_540.png
3\cap_20260418_155955_540__mass__p1__cnn-3__ok.png,3,3,True,mass,1,cap_20260418_155955_540.png
7\cap_20260418_155955_540__mass__p2__cnn-7__ok.png,7,7,True,mass,2,cap_20260418_155955_540.png
9\cap_20260418_155955_540__mass__p3__cnn-9__ok.png,9,9,True,mass,3,cap_20260418_155955_540.png
6\cap_20260418_155955_540__instability__p0__cnn-6__ok.png,6,6,True,instability,0,cap_20260418_155955_540.png
dot\cap_20260418_155955_540__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_155955_540.png
9\cap_20260418_155955_540__instability__p2__cnn-9__ok.png,9,9,True,instability,2,cap_20260418_155955_540.png
4\cap_20260418_155955_540__instability__p3__cnn-4__ok.png,4,4,True,instability,3,cap_20260418_155955_540.png
1\cap_20260418_160002_705__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160002_705.png
8\cap_20260418_160002_705__mass__p1__cnn-8__ok.png,8,8,True,mass,1,cap_20260418_160002_705.png
8\cap_20260418_160002_705__mass__p2__cnn-8__ok.png,8,8,True,mass,2,cap_20260418_160002_705.png
7\cap_20260418_160002_705__mass__p3__cnn-7__ok.png,7,7,True,mass,3,cap_20260418_160002_705.png
5\cap_20260418_160002_705__mass__p4__cnn-5__ok.png,5,5,True,mass,4,cap_20260418_160002_705.png
1\cap_20260418_160002_705__instability__p0__cnn-0__X.png,1,0,False,instability,0,cap_20260418_160002_705.png
7\cap_20260418_160002_705__instability__p1__cnn-4__X.png,7,4,False,instability,1,cap_20260418_160002_705.png
dot\cap_20260418_160002_705__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_160002_705.png
8\cap_20260418_160002_705__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_160002_705.png
4\cap_20260418_160002_705__instability__p4__cnn-4__ok.png,4,4,True,instability,4,cap_20260418_160002_705.png
1\cap_20260418_160003_629__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160003_629.png
8\cap_20260418_160003_629__mass__p1__cnn-8__ok.png,8,8,True,mass,1,cap_20260418_160003_629.png
8\cap_20260418_160003_629__mass__p2__cnn-8__ok.png,8,8,True,mass,2,cap_20260418_160003_629.png
7\cap_20260418_160003_629__mass__p3__cnn-7__ok.png,7,7,True,mass,3,cap_20260418_160003_629.png
5\cap_20260418_160003_629__mass__p4__cnn-5__ok.png,5,5,True,mass,4,cap_20260418_160003_629.png
1\cap_20260418_160003_629__instability__p0__cnn-4__X.png,1,4,False,instability,0,cap_20260418_160003_629.png
7\cap_20260418_160003_629__instability__p1__cnn-7__ok.png,7,7,True,instability,1,cap_20260418_160003_629.png
dot\cap_20260418_160003_629__instability__p2__cnn-5__X.png,.,5,False,instability,2,cap_20260418_160003_629.png
8\cap_20260418_160003_629__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_160003_629.png
4\cap_20260418_160003_629__instability__p4__cnn-4__ok.png,4,4,True,instability,4,cap_20260418_160003_629.png
1\cap_20260418_160022_415__mass__p0__cnn-5__X.png,1,5,False,mass,0,cap_20260418_160022_415.png
8\cap_20260418_160022_415__mass__p1__cnn-8__ok.png,8,8,True,mass,1,cap_20260418_160022_415.png
8\cap_20260418_160022_415__mass__p2__cnn-8__ok.png,8,8,True,mass,2,cap_20260418_160022_415.png
7\cap_20260418_160022_415__mass__p3__cnn-7__ok.png,7,7,True,mass,3,cap_20260418_160022_415.png
5\cap_20260418_160022_415__mass__p4__cnn-3__X.png,5,3,False,mass,4,cap_20260418_160022_415.png
1\cap_20260418_160022_415__instability__p0__cnn-0__X.png,1,0,False,instability,0,cap_20260418_160022_415.png
7\cap_20260418_160022_415__instability__p1__cnn-7__ok.png,7,7,True,instability,1,cap_20260418_160022_415.png
dot\cap_20260418_160022_415__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_160022_415.png
6\cap_20260418_160022_415__instability__p3__cnn-9__X.png,6,9,False,instability,3,cap_20260418_160022_415.png
4\cap_20260418_160022_415__instability__p4__cnn-9__X.png,4,9,False,instability,4,cap_20260418_160022_415.png
6\cap_20260418_160153_932__mass__p0__cnn-6__ok.png,6,6,True,mass,0,cap_20260418_160153_932.png
9\cap_20260418_160153_932__mass__p1__cnn-9__ok.png,9,9,True,mass,1,cap_20260418_160153_932.png
2\cap_20260418_160153_932__mass__p2__cnn-2__ok.png,2,2,True,mass,2,cap_20260418_160153_932.png
9\cap_20260418_160153_932__mass__p3__cnn-9__ok.png,9,9,True,mass,3,cap_20260418_160153_932.png
1\cap_20260418_160153_932__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160153_932.png
pct\cap_20260418_160153_932__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160153_932.png
2\cap_20260418_160153_932__instability__p0__cnn-2__ok.png,2,2,True,instability,0,cap_20260418_160153_932.png
dot\cap_20260418_160153_932__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_160153_932.png
0\cap_20260418_160153_932__instability__p2__cnn-0__ok.png,0,0,True,instability,2,cap_20260418_160153_932.png
8\cap_20260418_160153_932__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_160153_932.png
6\cap_20260418_160202_855__mass__p0__cnn-6__ok.png,6,6,True,mass,0,cap_20260418_160202_855.png
8\cap_20260418_160202_855__mass__p1__cnn-8__ok.png,8,8,True,mass,1,cap_20260418_160202_855.png
3\cap_20260418_160202_855__mass__p2__cnn-3__ok.png,3,3,True,mass,2,cap_20260418_160202_855.png
9\cap_20260418_160202_855__mass__p3__cnn-9__ok.png,9,9,True,mass,3,cap_20260418_160202_855.png
1\cap_20260418_160202_855__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160202_855.png
pct\cap_20260418_160202_855__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160202_855.png
1\cap_20260418_160202_855__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_160202_855.png
dot\cap_20260418_160202_855__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_160202_855.png
7\cap_20260418_160202_855__instability__p2__cnn-7__ok.png,7,7,True,instability,2,cap_20260418_160202_855.png
8\cap_20260418_160202_855__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_160202_855.png
4\cap_20260418_160208_908__mass__p0__cnn-4__ok.png,4,4,True,mass,0,cap_20260418_160208_908.png
0\cap_20260418_160208_908__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_160208_908.png
0\cap_20260418_160208_908__mass__p2__cnn-0__ok.png,0,0,True,mass,2,cap_20260418_160208_908.png
1\cap_20260418_160208_908__mass__p3__cnn-1__ok.png,1,1,True,mass,3,cap_20260418_160208_908.png
1\cap_20260418_160208_908__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160208_908.png
pct\cap_20260418_160208_908__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160208_908.png
1\cap_20260418_160211_145__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160211_145.png
pct\cap_20260418_160211_145__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160211_145.png
3\cap_20260418_160220_668__mass__p0__cnn-3__ok.png,3,3,True,mass,0,cap_20260418_160220_668.png
6\cap_20260418_160220_668__mass__p1__cnn-8__X.png,6,8,False,mass,1,cap_20260418_160220_668.png
2\cap_20260418_160220_668__mass__p2__cnn-2__ok.png,2,2,True,mass,2,cap_20260418_160220_668.png
9\cap_20260418_160220_668__mass__p3__cnn-9__ok.png,9,9,True,mass,3,cap_20260418_160220_668.png
1\cap_20260418_160220_668__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160220_668.png
pct\cap_20260418_160220_668__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160220_668.png
1\cap_20260418_160220_668__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_160220_668.png
dot\cap_20260418_160220_668__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_160220_668.png
3\cap_20260418_160220_668__instability__p2__cnn-3__ok.png,3,3,True,instability,2,cap_20260418_160220_668.png
5\cap_20260418_160220_668__instability__p3__cnn-5__ok.png,5,5,True,instability,3,cap_20260418_160220_668.png
4\cap_20260418_160225_556__mass__p0__cnn-4__ok.png,4,4,True,mass,0,cap_20260418_160225_556.png
0\cap_20260418_160225_556__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_160225_556.png
0\cap_20260418_160225_556__mass__p2__cnn-0__ok.png,0,0,True,mass,2,cap_20260418_160225_556.png
1\cap_20260418_160225_556__mass__p3__cnn-1__ok.png,1,1,True,mass,3,cap_20260418_160225_556.png
1\cap_20260418_160225_556__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160225_556.png
pct\cap_20260418_160225_556__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160225_556.png
6\cap_20260418_160231_011__mass__p0__cnn-8__X.png,6,8,False,mass,0,cap_20260418_160231_011.png
8\cap_20260418_160231_011__mass__p1__cnn-8__ok.png,8,8,True,mass,1,cap_20260418_160231_011.png
3\cap_20260418_160231_011__mass__p2__cnn-3__ok.png,3,3,True,mass,2,cap_20260418_160231_011.png
9\cap_20260418_160231_011__mass__p3__cnn-3__X.png,9,3,False,mass,3,cap_20260418_160231_011.png
1\cap_20260418_160231_011__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160231_011.png
pct\cap_20260418_160231_011__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160231_011.png
1\cap_20260418_160231_011__instability__p0__cnn-3__X.png,1,3,False,instability,0,cap_20260418_160231_011.png
dot\cap_20260418_160231_011__instability__p1__cnn-0__X.png,.,0,False,instability,1,cap_20260418_160231_011.png
7\cap_20260418_160231_011__instability__p2__cnn-7__ok.png,7,7,True,instability,2,cap_20260418_160231_011.png
8\cap_20260418_160231_011__instability__p3__cnn-0__X.png,8,0,False,instability,3,cap_20260418_160231_011.png
1\cap_20260418_160331_338__resistance__p0__cnn-9__X.png,1,9,False,resistance,0,cap_20260418_160331_338.png
9\cap_20260418_160331_338__resistance__p1__cnn-5__X.png,9,5,False,resistance,1,cap_20260418_160331_338.png
pct\cap_20260418_160331_338__resistance__p2__cnn-dot__X.png,%,.,False,resistance,2,cap_20260418_160331_338.png
1\cap_20260418_160349_019__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160349_019.png
0\cap_20260418_160349_019__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_160349_019.png
9\cap_20260418_160349_019__mass__p2__cnn-9__ok.png,9,9,True,mass,2,cap_20260418_160349_019.png
6\cap_20260418_160349_019__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_160349_019.png
9\cap_20260418_160349_019__mass__p4__cnn-9__ok.png,9,9,True,mass,4,cap_20260418_160349_019.png
2\cap_20260418_160349_019__resistance__p0__cnn-2__ok.png,2,2,True,resistance,0,cap_20260418_160349_019.png
2\cap_20260418_160349_019__resistance__p1__cnn-2__ok.png,2,2,True,resistance,1,cap_20260418_160349_019.png
pct\cap_20260418_160349_019__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_160349_019.png
2\cap_20260418_160349_019__instability__p0__cnn-2__ok.png,2,2,True,instability,0,cap_20260418_160349_019.png
2\cap_20260418_160349_019__instability__p1__cnn-0__X.png,2,0,False,instability,1,cap_20260418_160349_019.png
dot\cap_20260418_160349_019__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_160349_019.png
5\cap_20260418_160349_019__instability__p3__cnn-5__ok.png,5,5,True,instability,3,cap_20260418_160349_019.png
8\cap_20260418_160349_019__instability__p4__cnn-8__ok.png,8,8,True,instability,4,cap_20260418_160349_019.png
1\cap_20260418_160356_883__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160356_883.png
3\cap_20260418_160356_883__mass__p1__cnn-3__ok.png,3,3,True,mass,1,cap_20260418_160356_883.png
7\cap_20260418_160356_883__mass__p2__cnn-7__ok.png,7,7,True,mass,2,cap_20260418_160356_883.png
8\cap_20260418_160356_883__mass__p3__cnn-8__ok.png,8,8,True,mass,3,cap_20260418_160356_883.png
4\cap_20260418_160356_883__mass__p4__cnn-4__ok.png,4,4,True,mass,4,cap_20260418_160356_883.png
2\cap_20260418_160356_883__resistance__p0__cnn-2__ok.png,2,2,True,resistance,0,cap_20260418_160356_883.png
1\cap_20260418_160356_883__resistance__p1__cnn-1__ok.png,1,1,True,resistance,1,cap_20260418_160356_883.png
pct\cap_20260418_160356_883__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_160356_883.png
1\cap_20260418_160356_883__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_160356_883.png
9\cap_20260418_160356_883__instability__p1__cnn-9__ok.png,9,9,True,instability,1,cap_20260418_160356_883.png
dot\cap_20260418_160356_883__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_160356_883.png
0\cap_20260418_160356_883__instability__p3__cnn-0__ok.png,0,0,True,instability,3,cap_20260418_160356_883.png
8\cap_20260418_160356_883__instability__p4__cnn-8__ok.png,8,8,True,instability,4,cap_20260418_160356_883.png
1\cap_20260418_160402_808__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160402_808.png
1\cap_20260418_160402_808__mass__p1__cnn-1__ok.png,1,1,True,mass,1,cap_20260418_160402_808.png
7\cap_20260418_160402_808__mass__p2__cnn-7__ok.png,7,7,True,mass,2,cap_20260418_160402_808.png
4\cap_20260418_160402_808__mass__p3__cnn-4__ok.png,4,4,True,mass,3,cap_20260418_160402_808.png
8\cap_20260418_160402_808__mass__p4__cnn-8__ok.png,8,8,True,mass,4,cap_20260418_160402_808.png
1\cap_20260418_160402_808__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160402_808.png
9\cap_20260418_160402_808__resistance__p1__cnn-9__ok.png,9,9,True,resistance,1,cap_20260418_160402_808.png
pct\cap_20260418_160402_808__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_160402_808.png
1\cap_20260418_160402_808__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_160402_808.png
7\cap_20260418_160402_808__instability__p1__cnn-7__ok.png,7,7,True,instability,1,cap_20260418_160402_808.png
dot\cap_20260418_160402_808__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_160402_808.png
8\cap_20260418_160402_808__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_160402_808.png
3\cap_20260418_160402_808__instability__p4__cnn-3__ok.png,3,3,True,instability,4,cap_20260418_160402_808.png
2\cap_20260418_170509_245__mass__p0__cnn-2__ok.png,2,2,True,mass,0,cap_20260418_170509_245.png
7\cap_20260418_170509_245__mass__p1__cnn-7__ok.png,7,7,True,mass,1,cap_20260418_170509_245.png
2\cap_20260418_170509_245__mass__p2__cnn-2__ok.png,2,2,True,mass,2,cap_20260418_170509_245.png
6\cap_20260418_170509_245__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_170509_245.png
5\cap_20260418_170509_245__mass__p4__cnn-5__ok.png,5,5,True,mass,4,cap_20260418_170509_245.png
4\cap_20260418_170509_245__resistance__p0__cnn-4__ok.png,4,4,True,resistance,0,cap_20260418_170509_245.png
6\cap_20260418_170509_245__resistance__p1__cnn-6__ok.png,6,6,True,resistance,1,cap_20260418_170509_245.png
pct\cap_20260418_170509_245__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_170509_245.png
2\cap_20260418_170509_245__instability__p0__cnn-2__ok.png,2,2,True,instability,0,cap_20260418_170509_245.png
8\cap_20260418_170509_245__instability__p1__cnn-8__ok.png,8,8,True,instability,1,cap_20260418_170509_245.png
2\cap_20260418_170509_245__instability__p2__cnn-2__ok.png,2,2,True,instability,2,cap_20260418_170509_245.png
dot\cap_20260418_170509_245__instability__p3__cnn-dot__ok.png,.,.,True,instability,3,cap_20260418_170509_245.png
0\cap_20260418_170509_245__instability__p4__cnn-0__ok.png,0,0,True,instability,4,cap_20260418_170509_245.png
2\cap_20260418_170509_245__instability__p5__cnn-2__ok.png,2,2,True,instability,5,cap_20260418_170509_245.png
2\cap_20260418_170511_666__mass__p0__cnn-2__ok.png,2,2,True,mass,0,cap_20260418_170511_666.png
7\cap_20260418_170511_666__mass__p1__cnn-7__ok.png,7,7,True,mass,1,cap_20260418_170511_666.png
2\cap_20260418_170511_666__mass__p2__cnn-2__ok.png,2,2,True,mass,2,cap_20260418_170511_666.png
6\cap_20260418_170511_666__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_170511_666.png
5\cap_20260418_170511_666__mass__p4__cnn-5__ok.png,5,5,True,mass,4,cap_20260418_170511_666.png
4\cap_20260418_170511_666__resistance__p0__cnn-4__ok.png,4,4,True,resistance,0,cap_20260418_170511_666.png
6\cap_20260418_170511_666__resistance__p1__cnn-6__ok.png,6,6,True,resistance,1,cap_20260418_170511_666.png
pct\cap_20260418_170511_666__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_170511_666.png
2\cap_20260418_170511_666__instability__p0__cnn-2__ok.png,2,2,True,instability,0,cap_20260418_170511_666.png
8\cap_20260418_170511_666__instability__p1__cnn-8__ok.png,8,8,True,instability,1,cap_20260418_170511_666.png
2\cap_20260418_170511_666__instability__p2__cnn-2__ok.png,2,2,True,instability,2,cap_20260418_170511_666.png
dot\cap_20260418_170511_666__instability__p3__cnn-dot__ok.png,.,.,True,instability,3,cap_20260418_170511_666.png
0\cap_20260418_170511_666__instability__p4__cnn-0__ok.png,0,0,True,instability,4,cap_20260418_170511_666.png
2\cap_20260418_170511_666__instability__p5__cnn-2__ok.png,2,2,True,instability,5,cap_20260418_170511_666.png
6\cap_20260418_170553_235__mass__p0__cnn-6__ok.png,6,6,True,mass,0,cap_20260418_170553_235.png
0\cap_20260418_170553_235__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_170553_235.png
9\cap_20260418_170553_235__mass__p2__cnn-9__ok.png,9,9,True,mass,2,cap_20260418_170553_235.png
6\cap_20260418_170553_235__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_170553_235.png
0\cap_20260418_170553_235__mass__p4__cnn-0__ok.png,0,0,True,mass,4,cap_20260418_170553_235.png
7\cap_20260418_170553_235__resistance__p0__cnn-7__ok.png,7,7,True,resistance,0,cap_20260418_170553_235.png
9\cap_20260418_170553_235__resistance__p1__cnn-9__ok.png,9,9,True,resistance,1,cap_20260418_170553_235.png
pct\cap_20260418_170553_235__resistance__p2__cnn-pct__ok.png,%,%,True,resistance,2,cap_20260418_170553_235.png
5\cap_20260418_170553_235__instability__p0__cnn-5__ok.png,5,5,True,instability,0,cap_20260418_170553_235.png
8\cap_20260418_170553_235__instability__p1__cnn-8__ok.png,8,8,True,instability,1,cap_20260418_170553_235.png
6\cap_20260418_170553_235__instability__p2__cnn-6__ok.png,6,6,True,instability,2,cap_20260418_170553_235.png
dot\cap_20260418_170553_235__instability__p3__cnn-dot__ok.png,.,.,True,instability,3,cap_20260418_170553_235.png
1\cap_20260418_170553_235__instability__p4__cnn-1__ok.png,1,1,True,instability,4,cap_20260418_170553_235.png
2\cap_20260418_170553_235__instability__p5__cnn-2__ok.png,2,2,True,instability,5,cap_20260418_170553_235.png
