path,true_char,cnn_read,correct,field,position,panel,verified
8\cap_20260418_155725_424__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_155725_424.png,True
_unverified\cap_20260418_155740_736__mass__p0__cnn-1__gt-10488__read-1048.png,,1,,mass,0,cap_20260418_155740_736.png,False
_unverified\cap_20260418_155740_736__mass__p1__cnn-0__gt-10488__read-1048.png,,0,,mass,1,cap_20260418_155740_736.png,False
_unverified\cap_20260418_155740_736__mass__p2__cnn-4__gt-10488__read-1048.png,,4,,mass,2,cap_20260418_155740_736.png,False
_unverified\cap_20260418_155740_736__mass__p3__cnn-8__gt-10488__read-1048.png,,8,,mass,3,cap_20260418_155740_736.png,False
_unverified\cap_20260418_155740_736__mass__p4__cnn-pct__gt-10488__read-1048.png,,%,,mass,4,cap_20260418_155740_736.png,False
1\cap_20260418_155740_736__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_155740_736.png,True
pct\cap_20260418_155740_736__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_155740_736.png,True
_unverified\cap_20260418_155740_736__instability__p0__cnn-4__gt-3.78__read-4.76.png,,4,,instability,0,cap_20260418_155740_736.png,False
_unverified\cap_20260418_155740_736__instability__p1__cnn-dot__gt-3.78__read-4.76.png,,.,,instability,1,cap_20260418_155740_736.png,False
_unverified\cap_20260418_155740_736__instability__p2__cnn-2__gt-3.78__read-4.76.png,,2,,instability,2,cap_20260418_155740_736.png,False
_unverified\cap_20260418_155740_736__instability__p3__cnn-4__gt-3.78__read-4.76.png,,4,,instability,3,cap_20260418_155740_736.png,False
3\cap_20260418_155743_480__mass__p0__cnn-3__ok.png,3,3,True,mass,0,cap_20260418_155743_480.png,True
7\cap_20260418_155743_480__mass__p1__cnn-7__ok.png,7,7,True,mass,1,cap_20260418_155743_480.png,True
3\cap_20260418_155743_480__mass__p2__cnn-3__ok.png,3,3,True,mass,2,cap_20260418_155743_480.png,True
6\cap_20260418_155743_480__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_155743_480.png,True
1\cap_20260418_155743_480__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_155743_480.png,True
pct\cap_20260418_155743_480__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_155743_480.png,True
0\cap_20260418_155743_480__instability__p0__cnn-0__ok.png,0,0,True,instability,0,cap_20260418_155743_480.png,True
dot\cap_20260418_155743_480__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_155743_480.png,True
9\cap_20260418_155743_480__instability__p2__cnn-9__ok.png,9,9,True,instability,2,cap_20260418_155743_480.png,True
0\cap_20260418_155743_480__instability__p3__cnn-0__ok.png,0,0,True,instability,3,cap_20260418_155743_480.png,True
1\cap_20260418_155945_982__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_155945_982.png,True
5\cap_20260418_155945_982__mass__p1__cnn-5__ok.png,5,5,True,mass,1,cap_20260418_155945_982.png,True
6\cap_20260418_155945_982__mass__p2__cnn-6__ok.png,6,6,True,mass,2,cap_20260418_155945_982.png,True
8\cap_20260418_155945_982__mass__p3__cnn-8__ok.png,8,8,True,mass,3,cap_20260418_155945_982.png,True
3\cap_20260418_155945_982__mass__p4__cnn-3__ok.png,3,3,True,mass,4,cap_20260418_155945_982.png,True
_unverified\cap_20260418_155945_982__instability__p0__cnn-1__gt-14.21__read-1.21.png,,1,,instability,0,cap_20260418_155945_982.png,False
_unverified\cap_20260418_155945_982__instability__p1__cnn-pct__gt-14.21__read-1.21.png,,%,,instability,1,cap_20260418_155945_982.png,False
_unverified\cap_20260418_155945_982__instability__p2__cnn-2__gt-14.21__read-1.21.png,,2,,instability,2,cap_20260418_155945_982.png,False
_unverified\cap_20260418_155945_982__instability__p3__cnn-1__gt-14.21__read-1.21.png,,1,,instability,3,cap_20260418_155945_982.png,False
2\cap_20260418_155949_144__mass__p0__cnn-2__ok.png,2,2,True,mass,0,cap_20260418_155949_144.png,True
1\cap_20260418_155949_144__mass__p1__cnn-1__ok.png,1,1,True,mass,1,cap_20260418_155949_144.png,True
4\cap_20260418_155949_144__mass__p2__cnn-4__ok.png,4,4,True,mass,2,cap_20260418_155949_144.png,True
4\cap_20260418_155949_144__mass__p3__cnn-4__ok.png,4,4,True,mass,3,cap_20260418_155949_144.png,True
9\cap_20260418_155949_144__mass__p4__cnn-9__ok.png,9,9,True,mass,4,cap_20260418_155949_144.png,True
2\cap_20260418_155949_144__instability__p0__cnn-2__ok.png,2,2,True,instability,0,cap_20260418_155949_144.png,True
1\cap_20260418_155949_144__instability__p1__cnn-1__ok.png,1,1,True,instability,1,cap_20260418_155949_144.png,True
dot\cap_20260418_155949_144__instability__p2__cnn-dot__ok.png,.,.,True,instability,2,cap_20260418_155949_144.png,True
4\cap_20260418_155949_144__instability__p3__cnn-4__ok.png,4,4,True,instability,3,cap_20260418_155949_144.png,True
7\cap_20260418_155949_144__instability__p4__cnn-7__ok.png,7,7,True,instability,4,cap_20260418_155949_144.png,True
7\cap_20260418_155955_540__mass__p0__cnn-7__ok.png,7,7,True,mass,0,cap_20260418_155955_540.png,True
3\cap_20260418_155955_540__mass__p1__cnn-3__ok.png,3,3,True,mass,1,cap_20260418_155955_540.png,True
7\cap_20260418_155955_540__mass__p2__cnn-7__ok.png,7,7,True,mass,2,cap_20260418_155955_540.png,True
9\cap_20260418_155955_540__mass__p3__cnn-9__ok.png,9,9,True,mass,3,cap_20260418_155955_540.png,True
6\cap_20260418_155955_540__instability__p0__cnn-6__ok.png,6,6,True,instability,0,cap_20260418_155955_540.png,True
dot\cap_20260418_155955_540__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_155955_540.png,True
9\cap_20260418_155955_540__instability__p2__cnn-9__ok.png,9,9,True,instability,2,cap_20260418_155955_540.png,True
4\cap_20260418_155955_540__instability__p3__cnn-4__ok.png,4,4,True,instability,3,cap_20260418_155955_540.png,True
1\cap_20260418_160002_705__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160002_705.png,True
8\cap_20260418_160002_705__mass__p1__cnn-8__ok.png,8,8,True,mass,1,cap_20260418_160002_705.png,True
8\cap_20260418_160002_705__mass__p2__cnn-8__ok.png,8,8,True,mass,2,cap_20260418_160002_705.png,True
7\cap_20260418_160002_705__mass__p3__cnn-7__ok.png,7,7,True,mass,3,cap_20260418_160002_705.png,True
5\cap_20260418_160002_705__mass__p4__cnn-5__ok.png,5,5,True,mass,4,cap_20260418_160002_705.png,True
_unverified\cap_20260418_160002_705__instability__p0__cnn-0__gt-17.84__read-7.84.png,,0,,instability,0,cap_20260418_160002_705.png,False
_unverified\cap_20260418_160002_705__instability__p1__cnn-4__gt-17.84__read-7.84.png,,4,,instability,1,cap_20260418_160002_705.png,False
_unverified\cap_20260418_160002_705__instability__p2__cnn-dot__gt-17.84__read-7.84.png,,.,,instability,2,cap_20260418_160002_705.png,False
_unverified\cap_20260418_160002_705__instability__p3__cnn-8__gt-17.84__read-7.84.png,,8,,instability,3,cap_20260418_160002_705.png,False
_unverified\cap_20260418_160002_705__instability__p4__cnn-4__gt-17.84__read-7.84.png,,4,,instability,4,cap_20260418_160002_705.png,False
1\cap_20260418_160003_629__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160003_629.png,True
8\cap_20260418_160003_629__mass__p1__cnn-8__ok.png,8,8,True,mass,1,cap_20260418_160003_629.png,True
8\cap_20260418_160003_629__mass__p2__cnn-8__ok.png,8,8,True,mass,2,cap_20260418_160003_629.png,True
7\cap_20260418_160003_629__mass__p3__cnn-7__ok.png,7,7,True,mass,3,cap_20260418_160003_629.png,True
5\cap_20260418_160003_629__mass__p4__cnn-5__ok.png,5,5,True,mass,4,cap_20260418_160003_629.png,True
_unverified\cap_20260418_160003_629__instability__p0__cnn-4__gt-17.84__read-None.png,,4,,instability,0,cap_20260418_160003_629.png,False
_unverified\cap_20260418_160003_629__instability__p1__cnn-pct__gt-17.84__read-None.png,,%,,instability,1,cap_20260418_160003_629.png,False
_unverified\cap_20260418_160003_629__instability__p2__cnn-4__gt-17.84__read-None.png,,4,,instability,2,cap_20260418_160003_629.png,False
_unverified\cap_20260418_160022_415__mass__p0__cnn-5__gt-18875__read-179.png,,5,,mass,0,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160022_415__mass__p1__cnn-8__gt-18875__read-179.png,,8,,mass,1,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160022_415__mass__p2__cnn-8__gt-18875__read-179.png,,8,,mass,2,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160022_415__mass__p3__cnn-7__gt-18875__read-179.png,,7,,mass,3,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160022_415__mass__p4__cnn-3__gt-18875__read-179.png,,3,,mass,4,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160022_415__instability__p0__cnn-0__gt-17.64__read-7.90.png,,0,,instability,0,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160022_415__instability__p1__cnn-7__gt-17.64__read-7.90.png,,7,,instability,1,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160022_415__instability__p2__cnn-dot__gt-17.64__read-7.90.png,,.,,instability,2,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160022_415__instability__p3__cnn-9__gt-17.64__read-7.90.png,,9,,instability,3,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160022_415__instability__p4__cnn-9__gt-17.64__read-7.90.png,,9,,instability,4,cap_20260418_160022_415.png,False
_unverified\cap_20260418_160026_220__mass__p0__cnn-5__gt-7379__read-50.png,,5,,mass,0,cap_20260418_160026_220.png,False
_unverified\cap_20260418_160026_220__mass__p1__cnn-0__gt-7379__read-50.png,,0,,mass,1,cap_20260418_160026_220.png,False
_unverified\cap_20260418_160029_408__mass__p0__cnn-dot__gt-21449__read-None.png,,.,,mass,0,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__mass__p1__cnn-dot__gt-21449__read-None.png,,.,,mass,1,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p0__cnn-dot__gt-21.47__read-None.png,,.,,instability,0,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p1__cnn-dot__gt-21.47__read-None.png,,.,,instability,1,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p2__cnn-dot__gt-21.47__read-None.png,,.,,instability,2,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p3__cnn-dot__gt-21.47__read-None.png,,.,,instability,3,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p4__cnn-dot__gt-21.47__read-None.png,,.,,instability,4,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p5__cnn-dot__gt-21.47__read-None.png,,.,,instability,5,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p6__cnn-dot__gt-21.47__read-None.png,,.,,instability,6,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p7__cnn-dot__gt-21.47__read-None.png,,.,,instability,7,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p8__cnn-dot__gt-21.47__read-None.png,,.,,instability,8,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p9__cnn-dot__gt-21.47__read-None.png,,.,,instability,9,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p10__cnn-3__gt-21.47__read-None.png,,3,,instability,10,cap_20260418_160029_408.png,False
_unverified\cap_20260418_160029_408__instability__p11__cnn-dot__gt-21.47__read-None.png,,.,,instability,11,cap_20260418_160029_408.png,False
6\cap_20260418_160153_932__mass__p0__cnn-6__ok.png,6,6,True,mass,0,cap_20260418_160153_932.png,True
9\cap_20260418_160153_932__mass__p1__cnn-9__ok.png,9,9,True,mass,1,cap_20260418_160153_932.png,True
2\cap_20260418_160153_932__mass__p2__cnn-2__ok.png,2,2,True,mass,2,cap_20260418_160153_932.png,True
9\cap_20260418_160153_932__mass__p3__cnn-9__ok.png,9,9,True,mass,3,cap_20260418_160153_932.png,True
1\cap_20260418_160153_932__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160153_932.png,True
pct\cap_20260418_160153_932__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160153_932.png,True
2\cap_20260418_160153_932__instability__p0__cnn-2__ok.png,2,2,True,instability,0,cap_20260418_160153_932.png,True
dot\cap_20260418_160153_932__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_160153_932.png,True
0\cap_20260418_160153_932__instability__p2__cnn-0__ok.png,0,0,True,instability,2,cap_20260418_160153_932.png,True
8\cap_20260418_160153_932__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_160153_932.png,True
6\cap_20260418_160202_855__mass__p0__cnn-6__ok.png,6,6,True,mass,0,cap_20260418_160202_855.png,True
8\cap_20260418_160202_855__mass__p1__cnn-8__ok.png,8,8,True,mass,1,cap_20260418_160202_855.png,True
3\cap_20260418_160202_855__mass__p2__cnn-3__ok.png,3,3,True,mass,2,cap_20260418_160202_855.png,True
9\cap_20260418_160202_855__mass__p3__cnn-9__ok.png,9,9,True,mass,3,cap_20260418_160202_855.png,True
1\cap_20260418_160202_855__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160202_855.png,True
pct\cap_20260418_160202_855__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160202_855.png,True
1\cap_20260418_160202_855__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_160202_855.png,True
dot\cap_20260418_160202_855__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_160202_855.png,True
7\cap_20260418_160202_855__instability__p2__cnn-7__ok.png,7,7,True,instability,2,cap_20260418_160202_855.png,True
8\cap_20260418_160202_855__instability__p3__cnn-8__ok.png,8,8,True,instability,3,cap_20260418_160202_855.png,True
4\cap_20260418_160208_908__mass__p0__cnn-4__ok.png,4,4,True,mass,0,cap_20260418_160208_908.png,True
0\cap_20260418_160208_908__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_160208_908.png,True
0\cap_20260418_160208_908__mass__p2__cnn-0__ok.png,0,0,True,mass,2,cap_20260418_160208_908.png,True
1\cap_20260418_160208_908__mass__p3__cnn-1__ok.png,1,1,True,mass,3,cap_20260418_160208_908.png,True
1\cap_20260418_160208_908__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160208_908.png,True
pct\cap_20260418_160208_908__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160208_908.png,True
_unverified\cap_20260418_160208_908__instability__p0__cnn-1__gt-1.04__read-1.00.png,,1,,instability,0,cap_20260418_160208_908.png,False
_unverified\cap_20260418_160208_908__instability__p1__cnn-dot__gt-1.04__read-1.00.png,,.,,instability,1,cap_20260418_160208_908.png,False
_unverified\cap_20260418_160208_908__instability__p2__cnn-pct__gt-1.04__read-1.00.png,,%,,instability,2,cap_20260418_160208_908.png,False
_unverified\cap_20260418_160211_145__mass__p0__cnn-4__gt-4001__read-406.png,,4,,mass,0,cap_20260418_160211_145.png,False
_unverified\cap_20260418_160211_145__mass__p1__cnn-0__gt-4001__read-406.png,,0,,mass,1,cap_20260418_160211_145.png,False
_unverified\cap_20260418_160211_145__mass__p2__cnn-5__gt-4001__read-406.png,,5,,mass,2,cap_20260418_160211_145.png,False
1\cap_20260418_160211_145__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160211_145.png,True
pct\cap_20260418_160211_145__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160211_145.png,True
_unverified\cap_20260418_160211_145__instability__p0__cnn-1__gt-1.04__read-1.00.png,,1,,instability,0,cap_20260418_160211_145.png,False
_unverified\cap_20260418_160211_145__instability__p1__cnn-dot__gt-1.04__read-1.00.png,,.,,instability,1,cap_20260418_160211_145.png,False
_unverified\cap_20260418_160211_145__instability__p2__cnn-pct__gt-1.04__read-1.00.png,,%,,instability,2,cap_20260418_160211_145.png,False
_unverified\cap_20260418_160220_668__mass__p0__cnn-3__gt-3629__read-3829.png,,3,,mass,0,cap_20260418_160220_668.png,False
_unverified\cap_20260418_160220_668__mass__p1__cnn-8__gt-3629__read-3829.png,,8,,mass,1,cap_20260418_160220_668.png,False
_unverified\cap_20260418_160220_668__mass__p2__cnn-2__gt-3629__read-3829.png,,2,,mass,2,cap_20260418_160220_668.png,False
_unverified\cap_20260418_160220_668__mass__p3__cnn-9__gt-3629__read-3829.png,,9,,mass,3,cap_20260418_160220_668.png,False
1\cap_20260418_160220_668__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160220_668.png,True
pct\cap_20260418_160220_668__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160220_668.png,True
_unverified\cap_20260418_160220_668__instability__p0__cnn-1__gt-1.35__read-1.00.png,,1,,instability,0,cap_20260418_160220_668.png,False
_unverified\cap_20260418_160220_668__instability__p1__cnn-dot__gt-1.35__read-1.00.png,,.,,instability,1,cap_20260418_160220_668.png,False
_unverified\cap_20260418_160220_668__instability__p2__cnn-pct__gt-1.35__read-1.00.png,,%,,instability,2,cap_20260418_160220_668.png,False
_unverified\cap_20260418_160223_671__mass__p0__cnn-6__gt-3829__read-6568.png,,6,,mass,0,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__mass__p1__cnn-5__gt-3829__read-6568.png,,5,,mass,1,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__mass__p2__cnn-6__gt-3829__read-6568.png,,6,,mass,2,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__mass__p3__cnn-8__gt-3829__read-6568.png,,8,,mass,3,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__resistance__p0__cnn-5__gt-1__read-0.png,,5,,resistance,0,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__instability__p0__cnn-dot__gt-1.35__read-None.png,,.,,instability,0,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__instability__p1__cnn-dot__gt-1.35__read-None.png,,.,,instability,1,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__instability__p2__cnn-dot__gt-1.35__read-None.png,,.,,instability,2,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__instability__p3__cnn-3__gt-1.35__read-None.png,,3,,instability,3,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__instability__p4__cnn-2__gt-1.35__read-None.png,,2,,instability,4,cap_20260418_160223_671.png,False
_unverified\cap_20260418_160223_671__instability__p5__cnn-2__gt-1.35__read-None.png,,2,,instability,5,cap_20260418_160223_671.png,False
4\cap_20260418_160225_556__mass__p0__cnn-4__ok.png,4,4,True,mass,0,cap_20260418_160225_556.png,True
0\cap_20260418_160225_556__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_160225_556.png,True
0\cap_20260418_160225_556__mass__p2__cnn-0__ok.png,0,0,True,mass,2,cap_20260418_160225_556.png,True
1\cap_20260418_160225_556__mass__p3__cnn-1__ok.png,1,1,True,mass,3,cap_20260418_160225_556.png,True
1\cap_20260418_160225_556__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160225_556.png,True
pct\cap_20260418_160225_556__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160225_556.png,True
_unverified\cap_20260418_160225_556__instability__p0__cnn-1__gt-1.04__read-1.90.png,,1,,instability,0,cap_20260418_160225_556.png,False
_unverified\cap_20260418_160225_556__instability__p1__cnn-dot__gt-1.04__read-1.90.png,,.,,instability,1,cap_20260418_160225_556.png,False
_unverified\cap_20260418_160225_556__instability__p2__cnn-4__gt-1.04__read-1.90.png,,4,,instability,2,cap_20260418_160225_556.png,False
6\cap_20260418_160231_011__mass__p0__cnn-8__X.png,6,8,False,mass,0,cap_20260418_160231_011.png,True
8\cap_20260418_160231_011__mass__p1__cnn-8__ok.png,8,8,True,mass,1,cap_20260418_160231_011.png,True
3\cap_20260418_160231_011__mass__p2__cnn-3__ok.png,3,3,True,mass,2,cap_20260418_160231_011.png,True
9\cap_20260418_160231_011__mass__p3__cnn-3__X.png,9,3,False,mass,3,cap_20260418_160231_011.png,True
1\cap_20260418_160231_011__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_160231_011.png,True
pct\cap_20260418_160231_011__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_160231_011.png,True
_unverified\cap_20260418_160231_011__instability__p0__cnn-3__gt-1.78__read-None.png,,3,,instability,0,cap_20260418_160231_011.png,False
_unverified\cap_20260418_160231_011__instability__p1__cnn-8__gt-1.78__read-None.png,,8,,instability,1,cap_20260418_160231_011.png,False
_unverified\cap_20260418_160236_337__mass__p0__cnn-dot__gt-6929__read-44.png,,.,,mass,0,cap_20260418_160236_337.png,False
_unverified\cap_20260418_160236_337__mass__p1__cnn-pct__gt-6929__read-44.png,,%,,mass,1,cap_20260418_160236_337.png,False
_unverified\cap_20260418_160236_337__mass__p2__cnn-pct__gt-6929__read-44.png,,%,,mass,2,cap_20260418_160236_337.png,False
_unverified\cap_20260418_160331_338__mass__p0__cnn-1__gt-11746__read-1748.png,,1,,mass,0,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__mass__p1__cnn-7__gt-11746__read-1748.png,,7,,mass,1,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__mass__p2__cnn-4__gt-11746__read-1748.png,,4,,mass,2,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__mass__p3__cnn-8__gt-11746__read-1748.png,,8,,mass,3,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__resistance__p0__cnn-9__gt-19__read-59.png,,9,,resistance,0,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__resistance__p1__cnn-5__gt-19__read-59.png,,5,,resistance,1,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__resistance__p2__cnn-dot__gt-19__read-59.png,,.,,resistance,2,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__instability__p0__cnn-5__gt-17.83__read-None.png,,5,,instability,0,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__instability__p1__cnn-dot__gt-17.83__read-None.png,,.,,instability,1,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__instability__p2__cnn-8__gt-17.83__read-None.png,,8,,instability,2,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160331_338__instability__p3__cnn-3__gt-17.83__read-None.png,,3,,instability,3,cap_20260418_160331_338.png,False
_unverified\cap_20260418_160336_686__mass__p0__cnn-5__gt-11748__read-None.png,,5,,mass,0,cap_20260418_160336_686.png,False
_unverified\cap_20260418_160336_686__mass__p1__cnn-0__gt-11748__read-None.png,,0,,mass,1,cap_20260418_160336_686.png,False
1\cap_20260418_160349_019__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_160349_019.png,True
0\cap_20260418_160349_019__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_160349_019.png,True
9\cap_20260418_160349_019__mass__p2__cnn-9__ok.png,9,9,True,mass,2,cap_20260418_160349_019.png,True
6\cap_20260418_160349_019__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_160349_019.png,True
9\cap_20260418_160349_019__mass__p4__cnn-9__ok.png,9,9,True,mass,4,cap_20260418_160349_019.png,True
_unverified\cap_20260418_160349_019__resistance__p0__cnn-2__gt-22__read-22.png,,2,,resistance,0,cap_20260418_160349_019.png,False
_unverified\cap_20260418_160349_019__resistance__p1__cnn-2__gt-22__read-22.png,,2,,resistance,1,cap_20260418_160349_019.png,False
_unverified\cap_20260418_160349_019__resistance__p2__cnn-5__gt-22__read-22.png,,5,,resistance,2,cap_20260418_160349_019.png,False
_unverified\cap_20260418_160349_019__resistance__p3__cnn-pct__gt-22__read-22.png,,%,,resistance,3,cap_20260418_160349_019.png,False
_unverified\cap_20260418_160349_019__instability__p0__cnn-2__gt-22.58__read-20.58.png,,2,,instability,0,cap_20260418_160349_019.png,False
_unverified\cap_20260418_160349_019__instability__p1__cnn-0__gt-22.58__read-20.58.png,,0,,instability,1,cap_20260418_160349_019.png,False
